commute_route,daily_km,flights_per_year,transport_co2_kg,pc_type,gaming_hours,study_hours,phone_model,phone_charges_day,heating_type,tech_co2_kg,dj_hours_day,board_games_month,streaming_hours,recycling_habit,shower_minutes,pets,housework_freq,lifestyle_co2_kg,clothing_items_month,fashion_style,perfume_shipping,fashion_co2_kg,diet_type,coffee_cups_day,smoker,food_delivery,plastic_water,diet_co2_kg,total_daily_co2_kg
Electric Scooter / E-Bike,32.8,5,3.917,Tablet Only,0.3,4.7,Budget Phone (4000 mAh),1,Dormitory (Shared),1.544,1.0,1,3.2,Sometimes,14.0,Cat (Indoor),Low (1-2 cycles/wk),2.223,5,Vintage / Thrift,Rarely (1-2/yr),0.751,Moderate Meat,6,No,Frequently (3+/week),3-4 bottles/day,6.207,14.642
Electric Scooter / E-Bike,12.3,1,0.869,Desktop Gaming PC,0.0,4.0,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),2.179,2.0,4,4.0,Sometimes,18.0,Cat (Indoor),High (5+ cycles/wk),3.512,5,Fast Fashion,Rarely (1-2/yr),2.501,Heavy Meat Eater,5,Yes,Rarely (1-2/month),1-2 bottles/day,7.945,17.007
Metrobüs,39.2,0,2.548,Mid-Range Gaming Laptop,0.4,2.7,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.688,0.0,1,2.2,Strict Recycler,18.0,None,Dormitory / Outsourced,0.688,4,Fast Fashion,Sometimes (3-6/yr),2.005,Pescatarian,4,Yes,Sometimes (1-2/week),1-2 bottles/day,5.56,12.489
Personal Car (Diesel),25.3,2,5.696,High-End Gaming Laptop,3.1,5.0,Flagship Phone (5000 mAh),3,Apartment (Natural Gas),4.768,0.0,4,0.9,Sometimes,19.0,Medium/Large Dog,Dormitory / Outsourced,4.716,2,Fast Fashion,Sometimes (3-6/yr),1.005,Pescatarian,2,No,Sometimes (1-2/week),1-2 bottles/day,4.84,21.026
Personal Car (Gasoline),15.2,1,3.603,Tablet Only,9.0,4.5,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.316,3.0,0,4.1,Sometimes,12.0,Cat (Indoor),Low (1-2 cycles/wk),1.953,4,Fast Fashion,Never,2.0,Vegetarian,6,No,Frequently (3+/week),1-2 bottles/day,4.247,16.119
Ferry + Bus,45.0,2,5.645,Mid-Range Gaming Laptop,10.2,3.0,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),2.234,0.0,5,4.9,Sometimes,15.0,None,High (5+ cycles/wk),2.531,3,Streetwear / Heavy Denim,Rarely (1-2/yr),1.951,Pescatarian,4,No,Frequently (3+/week),Tap / Filtered (0),5.007,17.368
Electric Scooter / E-Bike,29.0,4,3.175,Tablet Only,1.7,4.6,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.565,1.0,3,1.3,Sometimes,19.0,None,Medium (3-4 cycles/wk),2.245,1,Fast Fashion,Rarely (1-2/yr),0.501,Heavy Meat Eater,3,No,Never,Tap / Filtered (0),7.08,14.566
Personal Car (Diesel),117.0,2,21.377,Desktop Office PC,5.1,3.2,Mid-Range Phone (4500 mAh),1,Apartment (Electric),4.2,1.0,0,4.2,Never,9.0,Small Dog,Low (1-2 cycles/wk),2.362,5,Fast Fashion,Never,2.5,Vegetarian,2,No,Rarely (1-2/month),Tap / Filtered (0),3.645,34.084
Ferry + Bus,11.2,1,1.749,Standard Office Laptop,3.3,2.3,Budget Phone (4000 mAh),1,Family Home (High Usage),6.627,1.0,2,5.5,Never,10.0,None,Medium (3-4 cycles/wk),1.909,1,Vintage / Thrift,Sometimes (3-6/yr),0.155,Pescatarian,3,Yes,Never,1-2 bottles/day,5.4,15.841
Personal Car (Gasoline),15.7,3,5.069,Desktop Office PC,1.7,2.2,Budget Phone (4000 mAh),1,Dormitory (Shared),1.692,3.0,0,3.0,Sometimes,12.0,None,Medium (3-4 cycles/wk),1.186,2,Fast Fashion,Rarely (1-2/yr),1.001,Vegetarian,3,Yes,Sometimes (1-2/week),1-2 bottles/day,4.5,13.448
Marmaray + Metro (cross-city),44.6,1,1.934,Mid-Range Gaming Laptop,2.1,4.4,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.872,3.0,1,1.8,Sometimes,16.0,None,Medium (3-4 cycles/wk),1.686,6,Fast Fashion,Rarely (1-2/yr),3.001,Vegetarian,6,No,Sometimes (1-2/week),Tap / Filtered (0),3.96,12.453
Personal Car (Diesel),5.1,1,1.557,Mid-Range Gaming Laptop,0.4,3.4,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.426,0.0,0,3.2,Sometimes,17.0,Cat (Indoor),High (5+ cycles/wk),2.655,5,Streetwear / Heavy Denim,Rarely (1-2/yr),3.251,Moderate Meat,1,No,Rarely (1-2/month),1-2 bottles/day,5.505,17.394
Walking / Cycling,37.4,3,2.055,Mid-Range Gaming Laptop,6.9,6.3,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.924,2.0,3,2.2,Never,11.0,None,High (5+ cycles/wk),2.197,5,Minimal / Capsule,Never,1.25,Heavy Meat Eater,3,No,Frequently (3+/week),3-4 bottles/day,7.627,18.052
Marmaray + Metro (cross-city),20.2,0,0.566,Ultrabook / Thin Laptop,1.1,3.9,Budget Phone (4000 mAh),3,Dormitory (Shared),1.596,0.0,1,2.1,Sometimes,4.0,Cat (Indoor),Medium (3-4 cycles/wk),1.282,3,Fast Fashion,Never,1.5,Heavy Meat Eater,1,No,Rarely (1-2/month),Tap / Filtered (0),6.985,11.929
Metrobüs,8.0,2,1.89,Standard Office Laptop,1.5,2.8,Budget Phone (4000 mAh),3,Family Home (High Usage),6.616,4.0,0,3.6,Sometimes,13.0,None,Medium (3-4 cycles/wk),1.342,3,Streetwear / Heavy Denim,Rarely (1-2/yr),1.951,Heavy Meat Eater,4,Yes,Frequently (3+/week),Tap / Filtered (0),8.007,19.806
Personal Car (Hybrid),5.7,3,2.682,Tablet Only,2.8,4.2,Flagship Phone (5000 mAh),3,Apartment (Natural Gas),4.285,0.0,0,0.6,Sometimes,7.0,Cat (Indoor),Medium (3-4 cycles/wk),1.333,5,Fast Fashion,Rarely (1-2/yr),2.501,Moderate Meat,4,Yes,Never,3-4 bottles/day,6.42,17.221
Bus Only,9.3,2,2.346,Mid-Range Gaming Laptop,1.0,2.1,Flagship Phone (5000 mAh),2,Apartment (Natural Gas),4.391,3.0,0,0.8,Sometimes,5.0,Cat (Indoor),Medium (3-4 cycles/wk),1.215,5,Minimal / Capsule,Never,1.25,Moderate Meat,5,Yes,Never,1-2 bottles/day,6.32,15.522
Walking / Cycling,3.0,1,0.685,Mid-Range Gaming Laptop,0.7,3.9,Mid-Range Phone (4500 mAh),3,Apartment (Natural Gas),4.48,0.0,0,3.0,Sometimes,6.0,None,Dormitory / Outsourced,0.365,4,Designer / Luxury,Never,3.0,Vegan,2,No,Rarely (1-2/month),Tap / Filtered (0),2.745,11.275
Metrobüs,10.6,2,2.059,Tablet Only,2.5,4.5,Mid-Range Phone (4500 mAh),1,Family Home (High Usage),6.56,0.0,0,3.0,Strict Recycler,14.0,Cat (Indoor),High (5+ cycles/wk),1.344,10,Designer / Luxury,Rarely (1-2/yr),7.501,Vegetarian,6,No,Never,1-2 bottles/day,3.98,21.443
Personal Car (Gasoline),23.0,1,5.101,Desktop Office PC,0.1,4.3,Budget Phone (4000 mAh),2,Apartment (Electric),4.024,1.0,1,3.5,Never,19.0,None,Dormitory / Outsourced,2.383,9,Streetwear / Heavy Denim,Sometimes (3-6/yr),5.855,Vegetarian,1,No,Sometimes (1-2/week),1-2 bottles/day,3.78,21.143
Metrobüs,10.7,3,2.75,Desktop Office PC,3.2,6.0,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),1.943,0.0,0,5.8,Never,12.0,Cat (Indoor),High (5+ cycles/wk),2.798,3,Vintage / Thrift,Sometimes (3-6/yr),0.455,Heavy Meat Eater,5,No,Never,1-2 bottles/day,7.32,15.266
Personal Car (Hybrid),39.3,0,4.323,Mid-Range Gaming Laptop,1.8,7.9,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),2.035,1.0,2,3.2,Sometimes,13.0,None,Medium (3-4 cycles/wk),1.583,6,Designer / Luxury,Never,4.5,Moderate Meat,5,No,Sometimes (1-2/week),1-2 bottles/day,5.82,18.26
Personal Car (Gasoline),47.6,0,9.139,High-End Gaming Laptop,2.3,5.0,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.689,1.0,2,3.9,Strict Recycler,18.0,None,Medium (3-4 cycles/wk),1.121,4,Vintage / Thrift,Rarely (1-2/yr),0.601,Pescatarian,1,No,Never,1-2 bottles/day,4.68,20.231
Walking / Cycling,36.3,0,0.0,Ultrabook / Thin Laptop,2.5,5.8,Budget Phone (4000 mAh),1,Dormitory (Shared),1.625,0.0,3,1.5,Sometimes,4.0,Medium/Large Dog,Medium (3-4 cycles/wk),3.232,4,Minimal / Capsule,Sometimes (3-6/yr),1.005,Heavy Meat Eater,3,No,Rarely (1-2/month),3-4 bottles/day,7.385,13.248
Personal Car (Hybrid),17.5,1,2.61,Desktop Office PC,1.9,7.8,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.664,3.0,0,4.2,Never,15.0,Medium/Large Dog,Medium (3-4 cycles/wk),4.552,1,Fast Fashion,Rarely (1-2/yr),0.501,Vegetarian,1,No,Sometimes (1-2/week),Tap / Filtered (0),3.66,15.987
Ferry + Bus,2.9,1,0.96,High-End Gaming Laptop,2.2,2.5,Budget Phone (4000 mAh),1,Apartment (Electric),4.118,0.0,4,2.2,Never,12.0,None,Dormitory / Outsourced,2.088,4,Streetwear / Heavy Denim,Frequently (monthly),2.614,Vegan,2,Yes,Frequently (3+/week),1-2 bottles/day,3.707,13.486
Bus Only,9.1,2,2.325,Ultrabook / Thin Laptop,2.9,4.2,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.312,3.0,1,3.1,Sometimes,15.0,None,Medium (3-4 cycles/wk),1.658,8,Minimal / Capsule,Frequently (monthly),2.014,Moderate Meat,1,No,Rarely (1-2/month),5+ bottles/day,5.785,16.094
Walking / Cycling,13.5,1,0.685,Mid-Range Gaming Laptop,3.5,3.3,Budget Phone (4000 mAh),2,Family Home (High Usage),6.884,3.0,0,2.8,Strict Recycler,10.0,None,Medium (3-4 cycles/wk),-0.026,6,Vintage / Thrift,Never,0.9,Vegetarian,2,No,Frequently (3+/week),Tap / Filtered (0),3.887,12.331
Ferry + Bus,8.0,1,1.445,Standard Office Laptop,3.2,5.3,Budget Phone (4000 mAh),3,Dormitory (Shared),1.705,0.0,1,4.5,Sometimes,8.0,Small Dog,High (5+ cycles/wk),2.243,6,Streetwear / Heavy Denim,Never,3.9,Heavy Meat Eater,1,No,Sometimes (1-2/week),3-4 bottles/day,7.34,16.633
Walking / Cycling,13.5,0,0.0,Desktop Gaming PC,5.1,4.4,Mid-Range Phone (4500 mAh),3,Apartment (Electric),5.394,2.0,0,1.0,Sometimes,13.0,None,Dormitory / Outsourced,1.002,2,Fast Fashion,Never,1.0,Pescatarian,1,No,Rarely (1-2/month),Tap / Filtered (0),4.585,11.981
Personal Car (Gasoline),45.9,1,9.498,Desktop Gaming PC,0.5,2.8,Mid-Range Phone (4500 mAh),3,Apartment (Electric),4.374,0.0,1,0.0,Sometimes,20.0,None,Medium (3-4 cycles/wk),1.917,3,Minimal / Capsule,Never,0.75,Heavy Meat Eater,3,No,Sometimes (1-2/week),Tap / Filtered (0),7.18,23.718
Ferry + Bus,4.7,1,1.131,Mid-Range Gaming Laptop,1.3,4.0,Mid-Range Phone (4500 mAh),3,Dormitory (Shared),1.817,2.0,4,2.7,Never,16.0,None,High (5+ cycles/wk),2.891,2,Streetwear / Heavy Denim,Frequently (monthly),1.314,Heavy Meat Eater,1,Yes,Rarely (1-2/month),3-4 bottles/day,7.865,15.018
Bus Only,52.9,0,5.554,Desktop Office PC,7.4,5.6,Flagship Phone (5000 mAh),3,Apartment (Natural Gas),4.846,2.0,2,3.7,Sometimes,9.0,Small Dog,Low (1-2 cycles/wk),2.191,3,Streetwear / Heavy Denim,Frequently (monthly),1.964,Vegetarian,2,Yes,Rarely (1-2/month),Tap / Filtered (0),4.245,18.8
Personal Car (Hybrid),27.6,0,3.036,High-End Gaming Laptop,1.3,2.0,Budget Phone (4000 mAh),1,Dormitory (Shared),1.726,0.0,3,3.2,Strict Recycler,5.0,None,Medium (3-4 cycles/wk),-0.074,4,Fast Fashion,Never,2.0,Vegetarian,3,No,Sometimes (1-2/week),Tap / Filtered (0),3.78,10.468
Electric Scooter / E-Bike,18.0,0,0.27,Standard Office Laptop,0.3,2.8,Budget Phone (4000 mAh),1,Apartment (Electric),3.874,3.0,0,4.8,Never,4.0,None,Low (1-2 cycles/wk),0.842,3,Minimal / Capsule,Rarely (1-2/yr),0.751,Pescatarian,2,No,Rarely (1-2/month),1-2 bottles/day,4.765,10.502
Metrobüs,9.0,0,0.585,Tablet Only,1.9,2.6,Flagship Phone (5000 mAh),2,Apartment (Natural Gas),4.255,0.0,5,3.7,Strict Recycler,19.0,None,Low (1-2 cycles/wk),1.544,4,Minimal / Capsule,Rarely (1-2/yr),1.001,Moderate Meat,2,Yes,Never,1-2 bottles/day,6.14,13.526
Marmaray + Metro (cross-city),8.1,1,0.912,Ultrabook / Thin Laptop,0.3,4.5,Budget Phone (4000 mAh),1,Dormitory (Shared),1.576,0.0,3,2.2,Never,7.0,None,High (5+ cycles/wk),1.75,3,Fast Fashion,Rarely (1-2/yr),1.501,Pescatarian,2,No,Never,1-2 bottles/day,4.74,10.479
Bus Only,4.8,0,0.504,Mid-Range Gaming Laptop,0.6,5.9,Mid-Range Phone (4500 mAh),3,Apartment (Natural Gas),4.582,0.0,0,0.0,Sometimes,10.0,Cat (Indoor),Medium (3-4 cycles/wk),1.6,2,Vintage / Thrift,Rarely (1-2/yr),0.301,Vegetarian,1,No,Sometimes (1-2/week),Tap / Filtered (0),3.66,10.648
Ferry + Bus,49.5,2,6.072,Standard Office Laptop,14.0,1.0,Flagship Phone (5000 mAh),1,Apartment (Natural Gas),4.529,0.0,0,2.6,Never,19.0,Small Dog,High (5+ cycles/wk),3.572,1,Fast Fashion,Frequently (monthly),0.514,Vegan,6,No,Sometimes (1-2/week),Tap / Filtered (0),3.06,17.747
Electric Scooter / E-Bike,43.7,2,2.025,Standard Office Laptop,1.9,4.1,Budget Phone (4000 mAh),2,Dormitory (Shared),1.644,0.0,0,4.5,Strict Recycler,4.0,Small Dog,Dormitory / Outsourced,0.348,8,Streetwear / Heavy Denim,Never,5.2,Vegan,2,No,Rarely (1-2/month),Tap / Filtered (0),2.745,11.962
Bus Only,5.6,1,1.273,Desktop Office PC,0.8,2.6,Flagship Phone (5000 mAh),2,Dormitory (Shared),1.683,0.0,0,2.4,Strict Recycler,19.0,None,Low (1-2 cycles/wk),0.639,0,Minimal / Capsule,Never,0.0,Vegetarian,4,No,Frequently (3+/week),1-2 bottles/day,4.127,7.722
Ferry + Bus,10.1,5,4.384,Ultrabook / Thin Laptop,13.1,5.5,Flagship Phone (5000 mAh),2,Apartment (Natural Gas),4.486,0.0,1,3.0,Sometimes,11.0,Cat (Indoor),High (5+ cycles/wk),2.21,0,Streetwear / Heavy Denim,Never,0.0,Pescatarian,2,No,Rarely (1-2/month),1-2 bottles/day,4.765,15.845
Personal Car (Diesel),20.1,1,4.122,Standard Office Laptop,8.5,3.6,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.464,0.0,4,3.6,Sometimes,6.0,None,Medium (3-4 cycles/wk),1.215,6,Fast Fashion,Rarely (1-2/yr),3.001,Pescatarian,6,No,Sometimes (1-2/week),1-2 bottles/day,5.08,17.882
Personal Car (Diesel),12.1,1,2.754,Desktop Office PC,1.5,4.2,Mid-Range Phone (4500 mAh),1,Apartment (Electric),4.078,3.0,4,1.5,Sometimes,11.0,None,Low (1-2 cycles/wk),1.527,11,Vintage / Thrift,Rarely (1-2/yr),1.651,Heavy Meat Eater,6,No,Frequently (3+/week),1-2 bottles/day,7.647,17.657
Bus Only,3.9,5,3.834,High-End Gaming Laptop,0.8,4.0,Budget Phone (4000 mAh),3,Family Home (High Usage),6.841,2.0,2,3.9,Never,8.0,Medium/Large Dog,High (5+ cycles/wk),4.323,5,Streetwear / Heavy Denim,Rarely (1-2/yr),3.251,Heavy Meat Eater,4,Yes,Sometimes (1-2/week),Tap / Filtered (0),7.84,26.09
Personal Car (Diesel),9.4,0,1.607,Desktop Office PC,4.6,5.7,Budget Phone (4000 mAh),2,Apartment (Natural Gas),4.701,2.0,3,5.5,Never,14.0,None,High (5+ cycles/wk),2.678,0,Fast Fashion,Rarely (1-2/yr),0.001,Vegetarian,3,No,Rarely (1-2/month),3-4 bottles/day,3.985,12.973
Ferry + Bus,58.3,4,8.278,High-End Gaming Laptop,3.1,7.1,Mid-Range Phone (4500 mAh),1,Apartment (Electric),4.482,0.0,0,2.7,Sometimes,9.0,None,Medium (3-4 cycles/wk),0.798,2,Vintage / Thrift,Sometimes (3-6/yr),0.305,Vegetarian,6,No,Sometimes (1-2/week),Tap / Filtered (0),3.96,17.824
Ferry + Bus,9.8,0,0.931,High-End Gaming Laptop,2.9,2.3,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.551,4.0,0,1.3,Strict Recycler,3.0,Medium/Large Dog,Dormitory / Outsourced,1.566,10,Designer / Luxury,Rarely (1-2/yr),7.501,Pescatarian,2,No,Rarely (1-2/month),Tap / Filtered (0),4.645,19.193
Bus Only,13.3,1,2.081,Tablet Only,5.6,2.6,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.266,1.0,3,2.9,Never,11.0,None,Medium (3-4 cycles/wk),2.033,6,Streetwear / Heavy Denim,Rarely (1-2/yr),3.901,Moderate Meat,2,No,Sometimes (1-2/week),1-2 bottles/day,5.64,17.922
Electric Scooter / E-Bike,6.7,0,0.1,Tablet Only,2.9,4.5,Budget Phone (4000 mAh),1,Dormitory (Shared),1.561,4.0,0,0.0,Never,5.0,Cat (Indoor),Dormitory / Outsourced,1.544,4,Fast Fashion,Sometimes (3-6/yr),2.005,Heavy Meat Eater,6,No,Rarely (1-2/month),Tap / Filtered (0),7.285,12.496
Personal Car (Hybrid),22.5,2,3.845,Standard Office Laptop,0.8,2.8,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.588,1.0,0,3.5,Sometimes,13.0,Small Dog,Medium (3-4 cycles/wk),2.366,2,Vintage / Thrift,Sometimes (3-6/yr),0.305,Moderate Meat,5,Yes,Rarely (1-2/month),1-2 bottles/day,6.345,14.449
Walking / Cycling,16.1,1,0.685,Desktop Office PC,3.0,5.4,Flagship Phone (5000 mAh),2,Apartment (Natural Gas),4.618,0.0,3,3.7,Never,6.0,None,Low (1-2 cycles/wk),1.411,0,Minimal / Capsule,Never,0.0,Moderate Meat,6,No,Rarely (1-2/month),Tap / Filtered (0),5.685,12.399
Electric Scooter / E-Bike,8.9,2,1.503,Tablet Only,0.9,5.6,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.558,0.0,1,5.5,Strict Recycler,10.0,None,Medium (3-4 cycles/wk),0.219,0,Streetwear / Heavy Denim,Rarely (1-2/yr),0.001,Moderate Meat,2,No,Never,1-2 bottles/day,5.54,8.821
Personal Car (Gasoline),6.0,1,1.837,High-End Gaming Laptop,3.6,3.2,Budget Phone (4000 mAh),1,Apartment (Natural Gas),4.656,0.0,1,2.7,Sometimes,13.0,None,Low (1-2 cycles/wk),1.222,4,Minimal / Capsule,Sometimes (3-6/yr),1.005,Vegan,6,No,Sometimes (1-2/week),Tap / Filtered (0),3.06,11.781
Ferry + Bus,39.8,1,4.466,Tablet Only,2.4,2.9,Mid-Range Phone (4500 mAh),2,Apartment (Electric),3.858,2.0,0,3.6,Strict Recycler,11.0,None,High (5+ cycles/wk),0.274,0,Designer / Luxury,Never,0.0,Heavy Meat Eater,3,Yes,Frequently (3+/week),5+ bottles/day,8.347,16.944
Personal Car (Gasoline),4.8,0,0.922,Ultrabook / Thin Laptop,0.2,3.6,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.565,0.0,3,1.7,Never,13.0,None,High (5+ cycles/wk),2.322,11,Minimal / Capsule,Rarely (1-2/yr),2.751,Moderate Meat,3,No,Never,Tap / Filtered (0),5.48,13.04
Electric Scooter / E-Bike,21.2,1,1.003,Standard Office Laptop,1.8,4.2,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.348,0.0,2,2.5,Sometimes,15.0,Cat (Indoor),Medium (3-4 cycles/wk),2.571,2,Streetwear / Heavy Denim,Rarely (1-2/yr),1.301,Moderate Meat,0,No,Rarely (1-2/month),1-2 bottles/day,5.445,14.668
Walking / Cycling,3.3,3,2.055,Desktop Office PC,1.1,4.5,Budget Phone (4000 mAh),1,Apartment (Electric),4.072,4.0,2,0.7,Sometimes,6.0,None,Low (1-2 cycles/wk),0.673,5,Fast Fashion,Never,2.5,Vegan,5,Yes,Rarely (1-2/month),3-4 bottles/day,3.805,13.104
Walking / Cycling,24.4,1,0.685,Desktop Office PC,1.0,0.6,Flagship Phone (5000 mAh),3,Apartment (Electric),3.91,0.0,4,2.7,Strict Recycler,12.0,None,Medium (3-4 cycles/wk),0.765,2,Streetwear / Heavy Denim,Never,1.3,Vegetarian,4,No,Sometimes (1-2/week),1-2 bottles/day,3.96,10.621
Marmaray + Metro (cross-city),29.3,2,2.19,Desktop Gaming PC,2.3,2.5,Budget Phone (4000 mAh),3,Dormitory (Shared),2.315,0.0,2,2.5,Strict Recycler,3.0,None,Low (1-2 cycles/wk),-0.622,4,Fast Fashion,Rarely (1-2/yr),2.001,Moderate Meat,2,No,Rarely (1-2/month),1-2 bottles/day,5.565,11.45
Walking / Cycling,32.0,2,1.37,Desktop Office PC,1.0,3.4,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.727,1.0,4,3.4,Strict Recycler,13.0,None,High (5+ cycles/wk),1.106,1,Minimal / Capsule,Sometimes (3-6/yr),0.255,Vegan,1,No,Never,1-2 bottles/day,2.78,7.239
Personal Car (Hybrid),13.3,1,2.148,Standard Office Laptop,3.8,2.8,Flagship Phone (5000 mAh),3,Apartment (Natural Gas),4.375,0.0,0,2.1,Sometimes,10.0,Small Dog,High (5+ cycles/wk),2.144,6,Streetwear / Heavy Denim,Sometimes (3-6/yr),3.905,Moderate Meat,2,No,Rarely (1-2/month),1-2 bottles/day,5.565,18.137
Walking / Cycling,45.1,1,0.685,Ultrabook / Thin Laptop,0.2,0.0,Flagship Phone (5000 mAh),2,Apartment (Natural Gas),4.226,4.0,0,3.1,Sometimes,7.0,None,Dormitory / Outsourced,0.565,4,Vintage / Thrift,Frequently (monthly),0.614,Heavy Meat Eater,2,No,Sometimes (1-2/week),3-4 bottles/day,7.4,13.489
Electric Scooter / E-Bike,74.8,0,1.122,Desktop Office PC,2.7,1.2,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.695,0.0,0,2.5,Sometimes,14.0,Cat (Indoor),Low (1-2 cycles/wk),1.995,1,Streetwear / Heavy Denim,Never,0.65,Pescatarian,5,Yes,Never,Tap / Filtered (0),5.4,10.862
Marmaray + Metro (cross-city),11.9,0,0.333,Desktop Gaming PC,4.1,2.0,Flagship Phone (5000 mAh),1,Dormitory (Shared),2.515,0.0,0,2.5,Never,18.0,None,Medium (3-4 cycles/wk),2.188,7,Designer / Luxury,Never,5.25,Moderate Meat,3,No,Rarely (1-2/month),3-4 bottles/day,5.785,16.071
Electric Scooter / E-Bike,10.9,0,0.164,Standard Office Laptop,2.8,3.8,Mid-Range Phone (4500 mAh),1,Apartment (Electric),3.95,0.0,3,3.1,Sometimes,10.0,None,High (5+ cycles/wk),1.599,4,Streetwear / Heavy Denim,Sometimes (3-6/yr),2.605,Pescatarian,1,No,Sometimes (1-2/week),1-2 bottles/day,4.78,13.098
